City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,Shakawe,-18.3633,21.8398,24.2,55,76,2.1,BW,2024-11-06
286,Hinton,42.6267,-96.2939,11.79,82,100,0.0,US,2024-11-06
287,Baker City,44.7749,-117.8344,7.84,42,0,2.06,US,2024-11-06
288,Fort St. John,56.2524,-120.8469,8.94,66,75,8.23,CA,2024-11-06
289,Zhigalovo,54.8127,105.1523,-4.39,93,63,1.05,RU,2024-11-06
290,Argostoli,38.1757,20.4879,14.21,45,4,3.48,GR,2024-11-06
291,Nantucket Island,41.3157,-70.009,17.02,91,0,9.39,US,2024-11-06
292,Campo Grande,-20.464,-54.6163,28.07,74,40,3.6,BR,2024-11-06
293,Choibalsan,48.0688,114.5241,-4.86,84,98,1.08,MN,2024-11-06
294,Sovetskaya Gavan',48.9663,140.285,-3.01,56,100,5.73,RU,2024-11-06
295,Devrek,41.2189,31.9558,4.21,86,0,1.09,TR,2024-11-06
296,Пангоды,65.8566,74.4948,-17.04,100,58,2.05,RU,2024-11-06
297,Inhuma,-6.6695,-41.7096,32.06,22,89,2.23,BR,2024-11-06
298,Salaqi`,14.2659,44.3819,12.77,50,0,3.95,YE,2024-11-06
299,Carrigaline,52.0882,-9.1663,13.98,93,100,5.68,IE,2024-11-06
300,Tauranga,-37.6859,176.1675,17.75,87,99,0.45,NZ,2024-11-06
301,Khanty-Mansiysk Urban Okrug,61.0034,69.019,-9.02,86,75,4.0,RU,2024-11-06
302,Touros,-5.1999,-35.4595,25.73,73,80,6.73,BR,2024-11-06
303,Manadhoo,5.7665,73.4112,27.01,78,94,1.28,MV,2024-11-06
304,Tabora,-5.0202,32.8098,19.78,78,66,1.82,TZ,2024-11-06
305,Gwādar,25.148,62.3255,25.44,82,0,4.73,PK,2024-11-06
306,Ahau,-12.501,177.0479,27.79,77,100,6.14,FJ,2024-11-06
307,Ponta Delgada,37.7394,-25.6684,18.44,67,20,4.12,PT,2024-11-06
308,Al Ghayzah,13.5591,44.0257,21.25,68,14,1.88,YE,2024-11-06
309,Okhotsk,59.3644,143.2411,-15.06,80,0,6.01,RU,2024-11-06
310,Solnechnyy,50.7238,136.6401,-10.74,67,2,1.3,RU,2024-11-06
311,Axim,4.8654,-2.2422,26.74,81,31,2.69,GH,2024-11-06
